stationID,all_len,data_len,th_len,missing_hour
402877,127196,62681,62712,103
402880,127196,62681,62712,103
402882,127196,62681,62712,103
402883,127196,62681,62712,103
402884,127196,62681,62712,103
402885,127196,62681,62712,103
402888,127196,62681,62712,103
402889,127196,62681,62712,103
402892,127196,62681,62712,103
402897,127196,62681,62712,103
402898,127196,62681,62712,103
402905,127196,62681,62712,103
402906,127196,62681,62712,103
402907,127196,62681,62712,103
402917,127196,62681,62712,103
402919,127196,62681,62712,103
402924,127196,62681,62712,103
402925,127196,62681,62712,103
402926,127196,62681,62712,103
402927,127196,62681,62712,103
402930,127196,62681,62712,103
402931,127196,62681,62712,103
402933,127196,62681,62712,103
402934,127196,62681,62712,103
403059,127196,62681,62712,103
403060,127196,62681,62712,103
403061,127196,62681,62712,103
403086,127196,62681,62712,103
403087,127196,62681,62712,103
403130,127196,62681,62712,103
403176,127196,62681,62712,103
403205,127196,62681,62712,103
403206,127196,62681,62712,103
403207,127196,62681,62712,103
403258,127187,62681,62712,103
403260,127196,62681,62712,103
403261,127196,62681,62712,103
403270,127196,62681,62712,103
403271,127196,62681,62712,103
403287,120812,62681,62712,103
403288,120812,62681,62712,103
403295,120812,62681,62712,103
403311,120812,62681,62712,103
403313,120801,62681,62712,103
403317,120806,62681,62712,103
404513,109420,62681,62712,103
404517,109420,62681,62712,103
404519,109420,62681,62712,103
404520,109420,62681,62712,103
404521,109420,62681,62712,103
404522,109420,62681,62712,103
404528,109420,62681,62712,103
404529,109420,62681,62712,103
404531,109217,62681,62712,103
404532,109217,62681,62712,103
404533,109420,62681,62712,103
404534,109305,62681,62712,103
404535,109420,62681,62712,103
404536,109420,62681,62712,103
404753,109406,62681,62712,103
405140,109084,62681,62712,103
405141,109084,62681,62712,103
405248,108292,62681,62712,103
405367,107788,62681,62712,103
405368,107788,62681,62712,103
405369,107788,62681,62712,103
405371,107788,62681,62712,103
405372,107788,62681,62712,103
405373,107788,62681,62712,103
405374,107788,62681,62712,103
405375,107788,62681,62712,103
405376,107788,62681,62712,103
405377,107788,62681,62712,103
405384,107788,62681,62712,103
405385,107764,62681,62712,103
405386,107764,62681,62712,103
405529,107308,62681,62712,103
405673,105065,62681,62712,103
405679,105268,62681,62712,103
405825,104932,62681,62712,103
405826,104932,62681,62712,103
405827,104635,62672,62712,112
405828,104932,62681,62712,103
405831,104932,62681,62712,103
405832,104932,62681,62712,103
405833,104932,62681,62712,103
405834,104932,62681,62712,103
405835,104932,62681,62712,103
405836,104932,62681,62712,103
405838,104932,62681,62712,103
405839,104932,62681,62712,103
405840,104932,62681,62712,103
405841,104932,62681,62712,103
405843,104932,62681,62712,103
405844,104932,62681,62712,103
405845,104932,62681,62712,103
405846,104932,62681,62712,103
405847,104932,62681,62712,103
405848,104932,62681,62712,103
405849,104932,62681,62712,103
405852,104932,62681,62712,103
405853,104932,62681,62712,103
405856,104932,62681,62712,103
405859,104799,62681,62712,103
405862,104932,62681,62712,103
405863,104932,62681,62712,103
405864,104932,62681,62712,103
406289,103420,62681,62712,103
406290,103420,62681,62712,103
406296,103420,62681,62712,103
406297,103420,62681,62712,103
406553,102724,62681,62712,103
406554,102724,62681,62712,103
406555,102724,62681,62712,103
406556,102724,62681,62712,103
406557,102724,62681,62712,103
406558,102724,62681,62712,103
406562,102724,62681,62712,103
406563,102724,62681,62712,103
406564,102724,62681,62712,103
406565,102724,62681,62712,103
406871,100564,62681,62712,103
407429,99196,62681,62712,103
407948,96436,62681,62712,103
407949,96436,62681,62712,103
408093,95584,62681,62712,103
408094,95584,62681,62712,103
408264,93833,62681,62712,103
408266,93833,62681,62712,103
408267,93833,62681,62712,103
408404,93329,62681,62712,103
409663,88121,62681,62712,103
409664,88121,62681,62712,103
409665,88121,62681,62712,103
409666,88121,62681,62712,103
409667,88121,62681,62712,103
409668,88121,62681,62712,103
409669,88121,62681,62712,103
409670,88121,62681,62712,103
409671,88121,62681,62712,103
409672,88121,62681,62712,103
409673,88121,62681,62712,103
409674,88121,62681,62712,103
409675,88121,62681,62712,103
409676,88121,62681,62712,103
409678,88121,62681,62712,103
409679,88121,62681,62712,103
409681,88121,62681,62712,103
409682,88121,62681,62712,103
409683,88121,62681,62712,103
409684,88121,62681,62712,103
409714,88121,62681,62712,103
409856,87785,62681,62712,103
409857,87785,62681,62712,103
409858,87785,62681,62712,103
409859,87785,62681,62712,103
409865,87785,62681,62712,103
409866,87785,62681,62712,103
409867,87785,62681,62712,103
409868,87785,62681,62712,103
409869,87785,62681,62712,103
409870,87785,62681,62712,103
409871,87785,62681,62712,103
409872,87785,62681,62712,103
409873,87785,62681,62712,103
409875,87785,62681,62712,103
409876,87785,62681,62712,103
409877,87785,62681,62712,103
409878,87785,62681,62712,103
409879,87785,62681,62712,103
409880,87785,62681,62712,103
409881,87785,62681,62712,103
409882,87785,62681,62712,103
409883,87785,62681,62712,103
409884,87785,62681,62712,103
409885,87785,62681,62712,103
409886,87785,62681,62712,103
409887,87785,62681,62712,103
409888,87785,62681,62712,103
409889,87785,62681,62712,103
409890,87785,62681,62712,103
409891,87785,62681,62712,103
409892,87785,62681,62712,103
409893,87785,62681,62712,103
410083,87617,62681,62712,103
410084,87617,62681,62712,103
410085,87617,62681,62712,103
410086,87617,62681,62712,103
410087,87617,62681,62712,103
410093,87617,62681,62712,103
410094,87617,62681,62712,103
410095,87617,62681,62712,103
410096,87617,62681,62712,103
410097,87617,62681,62712,103
410098,87617,62681,62712,103
410099,87617,62681,62712,103
410100,87617,62681,62712,103
410101,87617,62681,62712,103
410103,87617,62681,62712,103
410106,87617,62681,62712,103
410107,87617,62681,62712,103
410108,87617,62681,62712,103
410109,87617,62681,62712,103
410110,87617,62681,62712,103
410111,87617,62681,62712,103
410112,87617,62681,62712,103
410113,87617,62681,62712,103
410114,87617,62681,62712,103
410115,87617,62681,62712,103
410116,87617,62681,62712,103
410502,86873,62681,62712,103
410503,86873,62681,62712,103
410504,86873,62681,62712,103
410505,86873,62681,62712,103
410506,86873,62681,62712,103
410507,86873,62681,62712,103
410511,86873,62681,62712,103
410515,86873,62681,62712,103
410516,86873,62681,62712,103
411233,86177,62681,62712,103
411234,86177,62681,62712,103
412215,85265,62681,62712,103
412216,85265,62681,62712,103
412392,84929,62681,62712,103
412393,84929,62681,62712,103
412394,84929,62681,62712,103
412395,84929,62681,62712,103
412396,84929,62681,62712,103
412397,84929,62681,62712,103
412398,84929,62681,62712,103
412399,84929,62681,62712,103
412782,84161,62681,62712,103
412783,84161,62681,62712,103
412784,84161,62681,62712,103
412785,84161,62681,62712,103
412786,84161,62681,62712,103
412787,84161,62681,62712,103
412788,84161,62681,62712,103
412789,84161,62681,62712,103
413195,83753,62681,62712,103
413205,83753,62681,62712,103
413206,83753,62681,62712,103
413207,83753,62681,62712,103
413208,83753,62681,62712,103
413209,83753,62681,62712,103
413210,83753,62681,62712,103
413211,83753,62681,62712,103
413212,83753,62681,62712,103
413782,82985,62681,62712,103
413783,82985,62681,62712,103
413784,82985,62681,62712,103
413785,82985,62681,62712,103
413786,82985,62681,62712,103
413787,82985,62681,62712,103
413821,82985,62681,62712,103
414192,82745,62681,62712,103
414194,82745,62681,62712,103
414212,82745,62681,62712,103
414434,82313,62681,62712,103
415649,79913,62681,62712,103
415655,79913,62681,62712,103
415656,79913,62681,62712,103
415657,79913,62681,62712,103
415658,79913,62681,62712,103
415667,79913,62681,62712,103
415668,79913,62681,62712,103
416587,78737,62681,62712,103
418168,76361,62681,62712,103
418179,76361,62681,62712,103
418180,76361,62681,62712,103
418181,76361,62681,62712,103
418182,76361,62681,62712,103
418183,76361,62681,62712,103
418184,76361,62681,62712,103
418190,76361,62681,62712,103
418601,75881,62681,62712,103
418602,75881,62681,62712,103
418603,75881,62681,62712,103
418604,75881,62681,62712,103
420141,72497,62681,62712,103
